,Date,Value,Ticker,pct
659,2012-03-31,-0.9,WLDN,-0.15094339622641506
660,2011-12-31,-1.06,WLDN,-1.3840579710144927
661,2011-09-30,2.76,WLDN,1.0909090909090908
662,2011-06-30,1.32,WLDN,1.8085106382978728
663,2011-03-31,0.47,WLDN,-1.8545454545454545
664,2010-12-31,-0.55,WLDN,-1.5729166666666667
665,2010-09-30,0.96,WLDN,-1.4948453608247423
666,2010-06-30,-1.94,WLDN,0.3197278911564625
667,2010-03-31,-1.47,WLDN,-1.8305084745762712
668,2009-12-31,1.77,WLDN,0.1132075471698113
669,2009-09-30,1.59,WLDN,0.30327868852459017
670,2009-06-30,1.22,WLDN,-0.22292993630573255
671,2009-03-31,1.57,WLDN,
673,2021-09-30,-25.3,AQST,0.5665634674922602
674,2021-06-30,-16.15,AQST,0.13732394366197176
675,2021-03-31,-14.2,AQST,-0.6911700739451936
676,2020-12-31,-45.98,AQST,0.42662116040955644
677,2020-09-30,-32.23,AQST,0.3496649916247905
678,2020-06-30,-23.88,AQST,0.7342047930283224
679,2020-03-31,-13.77,AQST,-0.7737801872843766
680,2019-12-31,-60.87,AQST,0.21230830511850218
681,2019-09-30,-50.21,AQST,0.42117180866119464
682,2019-06-30,-35.33,AQST,0.9562569213732004
683,2019-03-31,-18.06,AQST,0.21862348178137636
684,2018-12-31,-14.82,AQST,0.2875760208514335
685,2018-09-30,-11.51,AQST,-29.073170731707318
686,2018-06-30,0.41,AQST,-0.2264150943396227
687,2018-03-31,0.53,AQST,-0.9528888888888889
689,2017-09-30,11.25,AQST,-3.8553299492385786
690,2017-06-30,-3.94,AQST,
692,2021-09-30,57.96,EFC,0.3507340946166395
693,2021-06-30,42.91,EFC,3.7519379844961236
694,2021-03-31,9.03,EFC,-0.930129990714949
695,2020-12-31,129.24,EFC,0.4339287695550873
696,2020-09-30,90.13,EFC,0.21665766738660897
697,2020-06-30,74.08,EFC,1.068695895001396
698,2020-03-31,35.81,EFC,-0.6525662171339865
699,2019-12-31,103.07,EFC,0.677025707777416
700,2019-09-30,61.46,EFC,0.405442487994512
701,2019-06-30,43.73,EFC,1.1064547206165698
702,2019-03-31,20.76,EFC,-1.0420089845805172
703,2018-12-31,-494.18,EFC,0.17368483553022207
704,2018-09-30,-421.05,EFC,0.8822924583128438
705,2018-06-30,-223.69,EFC,0.7939690432272035
706,2018-03-31,-124.69,EFC,-0.7306504223100685
707,2017-12-31,-462.93,EFC,2.7281952162358056
708,2017-09-30,-124.17,EFC,0.07711658570437208
709,2017-06-30,-115.28,EFC,0.07137546468401501
710,2017-03-31,-107.6,EFC,-2.5439804850050223
711,2016-12-31,69.69,EFC,-0.5741521539871678
712,2016-09-30,163.65,EFC,0.832997311827957
713,2016-06-30,89.28,EFC,-5.698947368421052
