,Date,Value,Ticker
357,2020-12-31,161.54,EQIX
358,2020-09-30,51.04,EQIX
359,2020-06-30,126.06,EQIX
360,2020-03-31,79.52,EQIX
361,2019-12-31,102.83,EQIX
362,2019-09-30,33.93,EQIX
363,2019-06-30,108.49,EQIX
364,2019-03-31,51.45,EQIX
365,2018-12-31,-451.01,EQIX
366,2018-09-30,-283.17,EQIX
367,2018-06-30,-72.12,EQIX
368,2018-03-31,-63.52,EQIX
369,2017-12-31,13.19,EQIX
370,2017-09-30,-18.89,EQIX
371,2017-06-30,-72.78,EQIX
372,2017-03-31,-23.84,EQIX
373,2016-12-31,729.45,EQIX
374,2016-09-30,791.77,EQIX
375,2016-06-30,-69.76,EQIX
376,2016-03-31,-86.45,EQIX
377,2015-12-31,-11.58,EQIX
378,2015-09-30,33.89,EQIX
379,2015-06-30,35.53,EQIX
380,2015-03-31,44.41,EQIX
381,2014-12-31,12.43,EQIX
382,2014-09-30,48.61,EQIX
383,2014-06-30,-11.83,EQIX
384,2014-03-31,49.02,EQIX
385,2013-12-31,-42.13,EQIX
386,2013-09-30,-7.35,EQIX
387,2013-06-30,29.85,EQIX
388,2013-03-31,8.51,EQIX
389,2012-12-31,-157.13,EQIX
390,2012-09-30,-125.76,EQIX
391,2012-06-30,-21.20,EQIX
392,2012-03-31,-19.50,EQIX
393,2011-12-31,-126.13,EQIX
394,2011-09-30,-119.52,EQIX
395,2011-06-30,-129.87,EQIX
396,2011-03-31,-72.30,EQIX
397,2010-12-31,-201.39,EQIX
398,2010-09-30,-166.07,EQIX
399,2010-06-30,-135.39,EQIX
400,2010-03-31,-43.59,EQIX
401,2009-12-31,-14.05,EQIX
402,2009-09-30,5.18,EQIX
403,2009-06-30,-14.16,EQIX
404,2009-03-31,-22.14,EQIX
405,,,CCOI
406,2021-09-30,79.65,CCOI
407,2021-06-30,54.19,CCOI
408,2021-03-31,31.66,CCOI
409,2020-12-31,84.37,CCOI
410,2020-09-30,62.66,CCOI
411,2020-06-30,42.97,CCOI
412,2020-03-31,15.59,CCOI
413,2019-12-31,101.85,CCOI
414,2019-09-30,65.65,CCOI
415,2019-06-30,44.26,CCOI
416,2019-03-31,15.35,CCOI
417,2018-12-31,83.98,CCOI
418,2018-09-30,54.20,CCOI
419,2018-06-30,34.56,CCOI
420,2018-03-31,15.27,CCOI
421,2017-12-31,65.90,CCOI
422,2017-09-30,45.16,CCOI
423,2017-06-30,27.30,CCOI
424,2017-03-31,11.27,CCOI
